@relation QoS_Anomaly_Data-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute latence numeric
@attribute jitter numeric
@attribute perte numeric
@attribute bande_passante numeric
@attribute signal_score numeric
@attribute anomalie {0,1}

@data
0.131569,0,0,0.11342,1,0
0,0.123733,0,0,0,0
0.424529,0.427514,0.096429,0.091578,0,1
0.219201,0.455573,0.030357,0.323445,0,1
0.213987,0.298032,0,0.20938,0.091848,0
0.126577,0.035171,0,0.312139,0.557979,0
0.130995,0.443589,0.010714,0.374849,0,1
0.209282,0.359119,0.810714,0.072924,0,1
0.236542,0.408418,1,0.129828,0.029851,1
1,1,0,0.14805,0,1
0.029667,0.113309,0,1,0,0
0.038614,0.231878,0,0.533233,0,0
0.424529,0.427514,0.096429,0.091578,0,1
0.219201,0.455573,0.030357,0.323445,0,1
0.081093,0.306313,0.014286,0.547406,0.167623,0
0.085864,0.181898,0,0.29697,0,0
0.138262,0.06021,0,0.239249,0.371986,0
0.128786,0.287899,0,0.196771,0,0
0.242572,0.593823,0,0.199413,0,1
0.202037,0.42235,0,0.18194,0,1
0.005523,0.005261,0,0.21351,0.250287,0
0.131569,0,0,0.11342,1,0
0.209282,0.359119,0.810714,0.072924,0,1
0.223022,0.269875,0.016071,0.586171,0.087256,0
0.029004,0.121395,0,0.503818,0,0
0.244384,0.552416,0,0.291416,0,1
0.242572,0.593823,0,0.199413,0,1
0.190196,0.355709,0.051786,0.407458,0,0
1,1,0,0.14805,0,1
0.236542,0.408418,1,0.129828,0.029851,1
