@relation QoS_QoE_Data-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute latence numeric
@attribute jitter numeric
@attribute perte numeric
@attribute bande_passante numeric
@attribute signal_score numeric
@attribute mos numeric

@data
0.005523,0.005261,0,0.21351,0.497306,4.16
0.038614,0.231878,0,0.533233,0.30485,2.87
0.223022,0.269875,0.016071,0.586171,0.387991,2.5
0.223022,0.269875,0.016071,0.586171,0.387991,2.5
0.126577,0.035171,0,0.312139,0.703618,3.98
0,0.123733,0,0,0.162433,3.56
0.202037,0.42235,0,0.18194,0.181678,1.62
0.213987,0.298032,0,0.20938,0.39107,2.34
0.128786,0.287899,0,0.196771,0.2194,2.45
0.029004,0.121395,0,0.503818,0.163972,3.56
0.424529,0.427514,0.096429,0.091578,0.048499,1.45
0.242572,0.593823,0,0.199413,0.04388,1.02
0.081093,0.306313,0.014286,0.547406,0.441878,2.35
0.219201,0.455573,0.030357,0.323445,0.024634,1.44
1,1,0,0.14805,0.096998,5
0.085864,0.181898,0,0.29697,0.312548,3.16
0.029004,0.121395,0,0.503818,0.163972,3.56
0.130995,0.443589,0.010714,0.374849,0.253272,1.54
1,1,0,0.14805,0.096998,5
0.081093,0.306313,0.014286,0.547406,0.441878,2.35
0.236542,0.408418,1,0.129828,0.3495,1.26
0.138262,0.06021,0,0.239249,0.578907,3.85
0.152599,0.106002,0,0.30652,0.494996,3.59
0.131569,0,0,0.11342,1,4.13
0.029667,0.113309,0,1,0,3.61
0.138262,0.06021,0,0.239249,0.578907,3.85
0.209282,0.359119,0.810714,0.072924,0.214011,1.56
0.244384,0.552416,0,0.291416,0.040031,1.1
0.005523,0.005261,0,0.21351,0.497306,4.16
0.085136,0.333983,0,0.165762,0.080831,2.18
